Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
elastic-belt-pattern,Elastic Belt Pattern,"<meta charset=""utf-8""><span>Beaded patterns on elastic. Stretch belt will fit many shapes and sizes. Beautiful with dresses, jumpsuits and even on the beach! </span><br><br>
<li>27.5"" Length</li>
<li>One Size Fits All</li>",Cocobelle,,Belts,"Belts, Full Price Accessories, Gift Guide - Favorites, Gift Guide - Under $100, Holiday Sale 2018",true,Color,AZTEC-IVORY,Size,OS,,,'845175035781,113.3980925,shopify,deny,manual,36.00,,true,true,'845175035781,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-4_cd868bfc-2796-4f1b-991c-69d9779693a5.jpg?v=1657923574,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-2.jpg?v=1657923574,lb,,,active
elastic-belt-pattern,,,,,,,,,DIAMOND-BRONZE,,OS,,,'845175026901,113.3980925,shopify,deny,manual,36.00,,true,true,'845175026901,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-5_8e1b91c9-6957-4bd3-977f-752c35702f2b.jpg?v=1657923574,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-5.jpg?v=1657923574,lb,,,
elastic-belt-pattern,,,,,,,,,FEATHER-BLACK,,OS,,,'845175035804,113.3980925,shopify,deny,manual,36.00,,true,true,'845175035804,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern_33ee6dd9-7671-4741-884a-829a8da5ead5.jpg?v=1657923574,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-1_4ea2128a-7968-44af-be2d-0c947ff29bd5.jpg?v=1657923574,lb,,,
elastic-belt-pattern,,,,,,,,,FLORENCE-BRUSH SILVER,,OS,,,'845175026888,113.3980925,shopify,deny,manual,36.00,,true,true,'845175026888,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-1_4ea2128a-7968-44af-be2d-0c947ff29bd5.jpg?v=1657923574,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern_6a48ddd8-f4c6-4b25-a07b-2bccb4f8d589.jpg?v=1657923574,lb,,,
elastic-belt-pattern,,,,,,,,,NAVAJO-IVORY,,OS,,,'845175026925,113.3980925,shopify,deny,manual,36.00,,true,true,'845175026925,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-3.jpg?v=1657923574,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-4_cd868bfc-2796-4f1b-991c-69d9779693a5.jpg?v=1657923574,lb,,,
elastic-belt-pattern,,,,,,,,,NAVAJO-TURQUOISE,,OS,,,'845175026932,113.3980925,shopify,deny,manual,36.00,,true,true,'845175026932,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-2.jpg?v=1657923574,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-1_ff5a34b3-f3b7-44ae-ae87-1fbefec59bbd.jpg?v=1657923574,lb,,,
elastic-belt-pattern,,,,,,,,,VOLCANO-COCO MIX,,OS,,,'845175026956,113.3980925,shopify,deny,manual,36.00,,true,true,'845175026956,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-6.jpg?v=1657923574,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-2_a30e8b56-9067-4780-b0f5-fe5e7633c447.jpg?v=1657923574,lb,,,
elastic-belt-pattern,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-5.jpg?v=1657923574,8,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-pattern,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-7.jpg?v=1657923574,9,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-pattern,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-8.jpg?v=1657923574,10,,,,,,,,,,,,,,,,,,,,,,
